Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,technique_id,alert_text,first_time_seen,target_vulnerable,ti_match,campaign_id,stage_order
172.16.0.1-192.168.10.50-40574-80-6,172.16.0.1,40574.0,192.168.10.50,80.0,6.0,2017-07-05 10:56:00,86405582.0,7.0,7.0,310.0,11595.0,292.0,0.0,44.28571429,109.2729218,5792.0,0.0,1656.428571,2429.118623,137.7804503,0.162026569,6646583.231,23700000.0,85400000.0,2.0,86400000.0,14400000.0,34800000.0,85400000.0,472.0,86400000.0,14400000.0,35300000.0,86400000.0,2.0,0.0,0.0,0.0,0.0,204.0,232.0,0.081013285,0.081013285,0.0,5792.0,794.0666667,1797.56329,3231233.781,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,850.7857143,44.28571429,1656.428571,204.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,310.0,7.0,11595.0,0.0,235.0,3.0,20.0,9979.0,0.0,9979.0,9979.0,85400000.0,0.0,85400000.0,85400000.0,DoS Hulk,T1498,Attack DoS Hulk from 172.16.0.1 to 192.168.10.50 on port 80.0 via protocol 6.0,0,0,0,10629,189182
192.168.10.3-192.168.10.8-53-63790-17,192.168.10.8,63790.0,192.168.10.3,53.0,17.0,2017-07-07 09:46:00,325752.0,2.0,2.0,64.0,252.0,32.0,32.0,32.0,0.0,126.0,126.0,126.0,0.0,970.0631155,12.27927994,108584.0,188066.0767,325744.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,64.0,64.0,6.139639972,6.139639972,32.0,126.0,69.6,51.48592041,2650.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,87.0,32.0,126.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.0,2.0,252.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,,Attack BENIGN from 192.168.10.8 to 192.168.10.3 on port 53.0 via protocol 17.0,0,1,0,16977,2084
172.16.0.1-192.168.10.50-54804-80-6,172.16.0.1,54804.0,192.168.10.50,80.0,6.0,2017-07-05 10:49:00,610.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6557.377049,203.3333333,336.715508,592.0,0.0,610.0,203.3333333,336.715508,592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,6557.377049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,251.0,-1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk,T1498,Attack DoS Hulk from 172.16.0.1 to 192.168.10.50 on port 80.0 via protocol 6.0,0,0,0,10629,98759
172.16.0.1-192.168.10.50-50402-80-6,172.16.0.1,50402.0,192.168.10.50,80.0,6.0,2017-07-05 10:55:00,98718667.0,7.0,5.0,365.0,11595.0,359.0,0.0,52.14285714,135.329756,8688.0,0.0,2319.0,3774.237539,121.1523652,0.121557557,8974424.273,29700000.0,98700000.0,4.0,98700000.0,16400000.0,40300000.0,98700000.0,4.0,45331.0,11332.75,16066.42904,34206.0,84.0,0.0,0.0,0.0,0.0,220.0,168.0,0.070908575,0.050648982,0.0,8688.0,920.0,2466.340035,6082833.167,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,996.6666667,52.14285714,2319.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,365.0,5.0,11595.0,251.0,235.0,2.0,20.0,1955.0,0.0,1955.0,1955.0,98700000.0,0.0,98700000.0,98700000.0,DoS Hulk,T1498,Attack DoS Hulk from 172.16.0.1 to 192.168.10.50 on port 80.0 via protocol 6.0,0,0,0,10629,172166
192.168.10.5-54.208.229.139-54574-443-6,54.208.229.139,443.0,192.168.10.5,54574.0,6.0,2017-07-04 11:03:00,31.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64516.12903,31.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,32258.06452,32258.06452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,125.0,253.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,,Attack BENIGN from 54.208.229.139 to 192.168.10.5 on port 54574.0 via protocol 6.0,0,0,0,43648,2
172.16.0.1-192.168.10.50-42668-3766-6,172.16.0.1,42668.0,192.168.10.50,3766.0,6.0,2017-07-07 02:52:00,43.0,1.0,1.0,2.0,6.0,2.0,2.0,2.0,0.0,6.0,6.0,6.0,0.0,186046.5116,46511.62791,43.0,0.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0,23255.81395,23255.81395,2.0,6.0,3.333333333,2.309401077,5.333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,6.0,1024.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,T1046,Attack PortScan from 172.16.0.1 to 192.168.10.50 on port 3766.0 via protocol 6.0,0,0,0,10636,20727
172.16.0.1-192.168.10.50-37658-80-6,172.16.0.1,37658.0,192.168.10.50,80.0,6.0,2017-07-05 10:45:00,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666666.6667,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,666666.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,251.0,-1.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk,T1498,Attack DoS Hulk from 172.16.0.1 to 192.168.10.50 on port 80.0 via protocol 6.0,0,0,0,10629,50016
172.16.0.1-192.168.10.50-53446-1010-6,172.16.0.1,53446.0,192.168.10.50,1010.0,6.0,2017-07-07 02:52:00,11.0,1.0,1.0,2.0,6.0,2.0,2.0,2.0,0.0,6.0,6.0,6.0,0.0,727272.7273,181818.1818,11.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0,90909.09091,90909.09091,2.0,6.0,3.333333333,2.309401077,5.333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,6.0,1024.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,T1046,Attack PortScan from 172.16.0.1 to 192.168.10.50 on port 1010.0 via protocol 6.0,0,0,0,10636,28520
172.16.0.1-192.168.10.50-53430-1166-6,172.16.0.1,53430.0,192.168.10.50,1166.0,6.0,2017-07-07 02:52:00,74.0,1.0,1.0,2.0,6.0,2.0,2.0,2.0,0.0,6.0,6.0,6.0,0.0,108108.1081,27027.02703,74.0,0.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0,13513.51351,13513.51351,2.0,6.0,3.333333333,2.309401077,5.333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,6.0,1024.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,T1046,Attack PortScan from 172.16.0.1 to 192.168.10.50 on port 1166.0 via protocol 6.0,0,0,0,10636,54407
172.16.0.1-192.168.10.50-47728-22-6,172.16.0.1,47728.0,192.168.10.50,22.0,6.0,2017-07-04 02:24:00,45.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44444.44444,45.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,22222.22222,22222.22222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,259.0,247.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSH-Patator,T1110,Attack SSH-Patator from 172.16.0.1 to 192.168.10.50 on port 22.0 via protocol 6.0,0,0,0,10625,1438
