alert_a,alert_b,label
54095,54427,1
54337,55636,1
56000,57023,1
56169,56329,1
53928,57695,1
54288,57482,1
52965,55602,1
53174,54686,1
54522,58128,1
54108,57442,1
59905,61653,1
62398,62654,1
60981,65208,1
61435,64789,1
63519,64334,1
62061,65252,1
63085,64497,1
62929,65660,1
58844,61172,1
58729,59645,1
66565,67149,1
66646,66708,1
66586,66920,1
66618,66705,1
66373,67254,1
66862,67058,1
66877,66909,1
66909,67266,1
66403,67021,1
66557,67188,1
126802,304390,1
215508,319619,1
248998,290991,1
79950,247790,1
175258,213196,1
209007,320521,1
164847,246939,1
134625,296683,1
198174,215127,1
87930,139619,1
323491,323537,1
322263,322617,1
323680,324223,1
322664,324272,1
322919,324281,1
322901,324134,1
323542,323560,1
322493,323412,1
322984,324122,1
322337,324232,1
324418,324424,1
324421,324423,1
324422,324423,1
324420,324422,1
324419,324421,1
324420,324421,1
324419,324424,1
324418,324422,1
324420,324424,1
324419,324423,1
1920045,1933482,1
1931645,1991825,1
1926763,1991327,1
1942224,1952171,1
1928257,1980600,1
1969428,1978633,1
1941990,1976763,1
1931652,1941388,1
1937600,1996179,1
1973012,1993419,1
2157269,2157270,1
2157270,2157273,1
2157271,2157273,1
2157268,2157273,1
2157269,2157272,1
2157268,2157270,1
2157270,2157272,1
2157268,2157269,1
2157269,2157274,1
2157268,2157271,1
636823,636824,1
636823,636825,1
636823,636826,1
636823,636827,1
636824,636825,1
636824,636826,1
636824,636827,1
636825,636826,1
636825,636827,1
636826,636827,1
2241505,2241506,1
2241505,2241507,1
2241506,2241507,1
14491,14492,1
2247706,2247707,1
2247706,2247708,1
2247706,2247709,1
2247707,2247708,1
2247707,2247709,1
2247708,2247709,1
2266184,2266186,1
2266181,2266182,1
2266182,2266186,1
2266183,2266185,1
2266184,2266185,1
2266182,2266185,1
2266183,2266184,1
2266185,2266186,1
2266181,2266186,1
2266181,2266183,1
2196852,2196853,1
2265933,2265934,1
2265933,2265935,1
2265934,2265935,1
2258853,2258855,1
2258854,2258855,1
2258853,2258858,1
2258856,2258857,1
2258854,2258858,1
2258853,2258854,1
2258853,2258857,1
2258854,2258857,1
2258855,2258856,1
2258853,2258856,1
2213561,2213562,1
2213561,2213563,1
2213561,2213564,1
2213562,2213563,1
2213562,2213564,1
2213563,2213564,1
654312,654313,1
2265300,2265301,1
2265300,2265302,1
2265300,2265303,1
2265301,2265302,1
2265301,2265303,1
2265302,2265303,1
2167638,2167640,1
2167642,2167644,1
2167638,2167642,1
2167643,2167645,1
2167638,2167645,1
2167640,2167642,1
2167640,2167645,1
2167639,2167644,1
2167643,2167647,1
2167642,2167645,1
2225237,2225238,1
2235347,2235350,1
2235346,2235348,1
2235337,2235343,1
2235332,2235346,1
2235331,2235355,1
2235330,2235342,1
2235327,2235349,1
2235349,2235354,1
2235334,2235339,1
2235329,2235339,1
2163931,2163932,1
9740,9741,1
2178440,2178441,1
2178440,2178442,1
2178440,2178443,1
2178441,2178442,1
2178441,2178443,1
2178442,2178443,1
2194331,2194332,1
30518,30519,1
30518,30520,1
30519,30520,1
2206805,2206806,1
2206805,2206807,1
2206806,2206807,1
667342,667389,1
667350,667390,1
667339,667368,1
667379,667390,1
667352,667374,1
667362,667377,1
667335,667393,1
667346,667383,1
667348,667366,1
667367,667395,1
2170460,2170461,1
2170460,2170462,1
2170461,2170462,1
2178596,2178599,1
2178598,2178599,1
2178596,2178598,1
2178596,2178601,1
2178598,2178601,1
2178596,2178600,1
2178597,2178599,1
2178596,2178597,1
2178599,2178600,1
