campaign_id,sequence,target_stage,seq_length
10625,"T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110",Credential Access,50
10625,"T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110",Credential Access,50
10625,"T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110",Credential Access,50
10625,"T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110",Credential Access,50
10625,"T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110",Credential Access,50
10625,"T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110",Credential Access,50
10625,"T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110",Credential Access,50
10625,"T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110",Credential Access,50
10625,"T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110",Credential Access,50
10625,"T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110,T1110",Credential Access,50
